"study","form","user","week","count","date"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYK02","202040","196","2020-10-05 13:05:04.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYK02","202041","129","2020-10-16 16:53:16.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYK02","202042","100","2020-10-19 08:25:47.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYK02","202043","1","2020-10-26 10:16:30.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYK02","202045","38","2020-11-10 16:40:44.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYK02","202047","1","2020-11-23 10:39:46.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYK02","202048","1","2020-12-01 16:53:07.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYK02","202049","4","2020-12-10 15:48:07.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYK02","202050","18","2020-12-14 16:09:20.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYK02","202107","90","2021-02-17 17:36:31.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYK02","202110","1","2021-03-11 18:29:46.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYK02","202111","109","2021-03-15 17:28:28.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYK02","202112","3","2021-03-22 08:11:04.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYK05","202031","19","2020-08-05 18:18:03.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYK05","202033","374","2020-08-18 15:52:17.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYK05","202034","834","2020-08-24 16:18:57.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYK05","202035","668","2020-09-02 16:59:33.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYK05","202036","474","2020-09-10 15:09:28.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYK05","202037","350","2020-09-14 16:06:00.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYK05","202038","413","2020-09-21 15:05:55.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYK05","202039","119","2020-09-28 09:05:48.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYK05","202040","488","2020-10-06 14:18:17.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYK05","202044","205","2020-11-03 19:38:40.0"
